id,week_num,product_number,reporterhq_id,prod_category,specs,display_size,segment,sales_units,inventory_units
202119-6909,123,6909,93,Arale,21274,13.3,Premium,2.0,35.0
202120-6909,124,6909,93,Arale,21274,13.3,Premium,0.0,70.0
202121-6909,125,6909,93,Arale,21274,13.3,Premium,3.0,137.0
202122-6909,126,6909,93,Arale,21274,13.3,Premium,0.0,274.0
202123-6909,127,6909,93,Arale,21274,13.3,Premium,0.0,333.0
202124-6909,128,6909,93,Arale,21274,13.3,Premium,2.0,349.0
202125-6909,129,6909,93,Arale,21274,13.3,Premium,15.0,328.0
202126-6909,130,6909,93,Arale,21274,13.3,Premium,49.0,288.0
202127-6909,131,6909,93,Arale,21274,13.3,Premium,55.0,234.0
202128-6909,132,6909,93,Arale,21274,13.3,Premium,103.0,131.0
202129-6909,133,6909,93,Arale,21274,13.3,Premium,91.0,62.0
202130-6909,134,6909,93,Arale,21274,13.3,Premium,20.0,32.0
202131-6909,135,6909,93,Arale,21274,13.3,Premium,5.0,24.0
202132-6909,136,6909,93,Arale,21274,13.3,Premium,0.0,30.0
202133-6909,137,6909,93,Arale,21274,13.3,Premium,0.0,57.0
202134-6909,138,6909,93,Arale,21274,13.3,Premium,0.0,121.0
202135-6909,139,6909,93,Arale,21274,13.3,Premium,0.0,255.0
202136-6909,140,6909,93,Arale,21274,13.3,Premium,9.0,312.0
202137-6909,141,6909,93,Arale,21274,13.3,Premium,8.0,326.0
202138-6909,142,6909,93,Arale,21274,13.3,Premium,9.0,326.0
202139-6909,143,6909,93,Arale,21274,13.3,Premium,10.0,314.0
202140-6909,144,6909,93,Arale,21274,13.3,Premium,55.0,284.0
202141-6909,145,6909,93,Arale,21274,13.3,Premium,24.0,259.0
202142-6909,146,6909,93,Arale,21274,13.3,Premium,36.0,232.0
202143-6909,147,6909,93,Arale,21274,13.3,Premium,32.0,206.0
202144-6909,148,6909,93,Arale,21274,13.3,Premium,24.0,182.0
202146-6909,150,6909,93,Arale,21274,13.3,Premium,62.0,137.0
202147-6909,151,6909,93,Arale,21274,13.3,Premium,43.0,95.0
202148-6909,152,6909,93,Arale,21274,13.3,Premium,81.0,48.0
202149-6909,153,6909,93,Arale,21274,13.3,Premium,18.0,27.0
202150-6909,154,6909,93,Arale,21274,13.3,Premium,7.0,16.0
202151-6909,155,6909,93,Arale,21274,13.3,Premium,2.0,13.0
202152-6909,156,6909,93,Arale,21274,13.3,Premium,1.0,11.0
202201-6909,157,6909,93,Arale,21274,13.3,Premium,1.0,9.0
202202-6909,158,6909,93,Arale,21274,13.3,Premium,0.0,9.0
202203-6909,159,6909,93,Arale,21274,13.3,Premium,0.0,12.0
202204-6909,160,6909,93,Arale,21274,13.3,Premium,0.0,13.0
202205-6909,161,6909,93,Arale,21274,13.3,Premium,0.0,18.0
202206-6909,162,6909,93,Arale,21274,13.3,Premium,0.0,18.0
202207-6909,163,6909,93,Arale,21274,13.3,Premium,4.0,12.0
202208-6909,164,6909,93,Arale,21274,13.3,Premium,13.0,5.0
202209-6909,165,6909,93,Arale,21274,13.3,Premium,2.0,2.0
202210-6909,166,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202211-6909,167,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202212-6909,168,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202213-6909,169,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202214-6909,170,6909,93,Arale,21274,13.3,Premium,0.0,0.0
202215-6909,171,6909,93,Arale,21274,13.3,Premium,1.0,1.0
202216-6909,172,6909,93,Arale,21274,13.3,Premium,2.0,2.0
202217-6909,173,6909,93,Arale,21274,13.3,Premium,1.0,1.0
202219-6909,175,6909,93,Arale,21274,13.3,Premium,0.0,3.0
202220-6909,176,6909,93,Arale,21274,13.3,Premium,0.0,4.0
202221-6909,177,6909,93,Arale,21274,13.3,Premium,0.0,8.0
202223-6909,179,6909,93,Arale,21274,13.3,Premium,1.0,18.0
202224-6909,180,6909,93,Arale,21274,13.3,Premium,57.0,161.0
202225-6909,181,6909,93,Arale,21274,13.3,Premium,31.0,162.0
202226-6909,182,6909,93,Arale,21274,13.3,Premium,49.0,88.0
202227-6909,183,6909,15,Arale,21274,13.3,Premium,20.0,37.0
202228-6909,184,6909,15,Arale,21274,13.3,Premium,4.0,30.0
202229-6909,185,6909,15,Arale,21274,13.3,Premium,0.0,38.0
202230-6909,186,6909,15,Arale,21274,13.3,Premium,26.0,70.0
202231-6909,187,6909,93,Arale,21274,13.3,Premium,3.0,94.0
202232-6909,188,6909,93,Arale,21274,13.3,Premium,51.0,96.0
202233-6909,189,6909,93,Arale,21274,13.3,Premium,2.0,94.0
202234-6909,190,6909,93,Arale,21274,13.3,Premium,30.0,65.0
202235-6909,191,6909,93,Arale,21274,13.3,Premium,7.0,57.0
202236-6909,192,6909,93,Arale,21274,13.3,Premium,10.0,47.0
202237-6909,193,6909,93,Arale,21274,13.3,Premium,0.0,57.0
202238-6909,194,6909,93,Arale,21274,13.3,Premium,28.0,79.0
202239-6909,195,6909,93,Arale,21274,13.3,Premium,0.0,145.0
202240-6909,196,6909,93,Arale,21274,13.3,Premium,76.0,77.0
202241-6909,197,6909,15,Arale,21274,13.3,Premium,46.0,31.0
202242-6909,198,6909,93,Arale,21274,13.3,Premium,41.0,24.0
202243-6909,199,6909,93,Arale,21274,13.3,Premium,44.0,22.0
202244-6909,200,6909,93,Arale,21274,13.3,Premium,40.0,35.0
202245-6909,201,6909,93,Arale,21274,13.3,Premium,53.0,51.0
202246-6909,202,6909,15,Arale,21274,13.3,Premium,6.0,26.0
202247-6909,203,6909,15,Arale,21274,13.3,Premium,3.0,33.0
202248-6909,204,6909,93,Arale,21274,13.3,Premium,40.0,55.0
202249-6909,205,6909,93,Arale,21274,13.3,Premium,1.0,77.0
202250-6909,206,6909,93,Arale,21274,13.3,Premium,2.0,128.0
202251-6909,207,6909,15,Arale,21274,13.3,Premium,8.0,85.0
202252-6909,208,6909,93,Arale,21274,13.3,Premium,8.0,106.0
202301-6909,209,6909,15,Arale,21274,13.3,Premium,27.0,33.0
202302-6909,210,6909,93,Arale,21274,13.3,Premium,12.0,53.0
202303-6909,211,6909,15,Arale,21274,13.3,Premium,19.0,6.0
202304-6909,212,6909,93,Arale,21274,13.3,Premium,3.0,42.0
202305-6909,213,6909,15,Arale,21274,13.3,Premium,11.0,1.0
202306-6909,214,6909,93,Arale,21274,13.3,Premium,2.0,37.0
202307-6909,215,6909,93,Arale,21274,13.3,Premium,20.0,32.0
202308-6909,216,6909,93,Arale,21274,13.3,Premium,14.0,25.0
202309-6909,217,6909,93,Arale,21274,13.3,Premium,3.0,27.0
202310-6909,218,6909,93,Arale,21274,13.3,Premium,59.0,40.0
202311-6909,219,6909,93,Arale,21274,13.3,Premium,8.0,32.0
202312-6909,220,6909,93,Arale,21274,13.3,Premium,0.0,38.0
202313-6909,221,6909,93,Arale,21274,13.3,Premium,78.0,0.0
202314-6909,222,6909,93,Arale,21274,13.3,Premium,0.0,109.0
202315-6909,223,6909,93,Arale,21274,13.3,Premium,1.0,159.0
202316-6909,224,6909,93,Arale,21274,13.3,Premium,46.0,113.0
202317-6909,225,6909,93,Arale,21274,13.3,Premium,143.0,90.0
202318-6909,226,6909,93,Arale,21274,13.3,Premium,26.0,88.0
202119-7896,123,7896,93,Goku,126677,14.0,Core,0.0,17.0
202120-7896,124,7896,93,Goku,126677,14.0,Core,0.0,31.0
202121-7896,125,7896,93,Goku,126677,14.0,Core,0.0,64.0
202122-7896,126,7896,93,Goku,126677,14.0,Core,9.0,55.0
202123-7896,127,7896,93,Goku,126677,14.0,Core,4.0,49.0
202124-7896,128,7896,93,Goku,126677,14.0,Core,0.0,71.0
202125-7896,129,7896,93,Goku,126677,14.0,Core,7.0,93.0
202126-7896,130,7896,93,Goku,126677,14.0,Core,22.0,62.0
202127-7896,131,7896,93,Goku,126677,14.0,Core,4.0,69.0
202128-7896,132,7896,93,Goku,126677,14.0,Core,24.0,33.0
202129-7896,133,7896,93,Goku,126677,14.0,Core,10.0,17.0
202130-7896,134,7896,93,Goku,126677,14.0,Core,4.0,12.0
202131-7896,135,7896,93,Goku,126677,14.0,Core,0.0,16.0
202132-7896,136,7896,93,Goku,126677,14.0,Core,1.0,31.0
202133-7896,137,7896,93,Goku,126677,14.0,Core,4.0,38.0
202134-7896,138,7896,93,Goku,126677,14.0,Core,0.0,68.0
202135-7896,139,7896,93,Goku,126677,14.0,Core,11.0,140.0
202136-7896,140,7896,93,Goku,126677,14.0,Core,11.0,164.0
202137-7896,141,7896,93,Goku,126677,14.0,Core,48.0,130.0
202138-7896,142,7896,93,Goku,126677,14.0,Core,0.0,171.0
202139-7896,143,7896,93,Goku,126677,14.0,Core,12.0,153.0
202140-7896,144,7896,93,Goku,126677,14.0,Core,42.0,91.0
202141-7896,145,7896,93,Goku,126677,14.0,Core,10.0,82.0
202142-7896,146,7896,93,Goku,126677,14.0,Core,126.0,75.0
202143-7896,147,7896,93,Goku,126677,14.0,Core,24.0,43.0
202144-7896,148,7896,93,Goku,126677,14.0,Core,28.0,38.0
202146-7896,150,7896,93,Goku,126677,14.0,Core,19.0,55.0
202147-7896,151,7896,93,Goku,126677,14.0,Core,18.0,57.0
202148-7896,152,7896,93,Goku,126677,14.0,Core,26.0,31.0
202149-7896,153,7896,93,Goku,126677,14.0,Core,18.0,24.0
202150-7896,154,7896,93,Goku,126677,14.0,Core,11.0,34.0
202151-7896,155,7896,93,Goku,126677,14.0,Core,22.0,21.0
202152-7896,156,7896,93,Goku,126677,14.0,Core,3.0,16.0
202201-7896,157,7896,93,Goku,126677,14.0,Core,0.0,22.0
202202-7896,158,7896,93,Goku,126677,14.0,Core,2.0,42.0
202203-7896,159,7896,93,Goku,126677,14.0,Core,5.0,60.0
202204-7896,160,7896,93,Goku,126677,14.0,Core,0.0,116.0
202205-7896,161,7896,93,Goku,126677,14.0,Core,1.0,118.0
202206-7896,162,7896,93,Goku,126677,14.0,Core,0.0,136.0
202207-7896,163,7896,93,Goku,126677,14.0,Core,1.0,180.0
202208-7896,164,7896,93,Goku,126677,14.0,Core,59.0,91.0
202209-7896,165,7896,93,Goku,126677,14.0,Core,26.0,51.0
202210-7896,166,7896,93,Goku,126677,14.0,Core,5.0,43.0
202211-7896,167,7896,93,Goku,126677,14.0,Core,8.0,61.0
202212-7896,168,7896,93,Goku,126677,14.0,Core,7.0,55.0
202213-7896,169,7896,93,Goku,126677,14.0,Core,0.0,84.0
202214-7896,170,7896,93,Goku,126677,14.0,Core,10.0,76.0
202215-7896,171,7896,93,Goku,126677,14.0,Core,2.0,115.0
202216-7896,172,7896,93,Goku,126677,14.0,Core,0.0,121.0
202217-7896,173,7896,93,Goku,126677,14.0,Core,16.0,97.0
202219-7896,175,7896,93,Goku,126677,14.0,Core,28.0,55.0
202220-7896,176,7896,93,Goku,126677,14.0,Core,4.0,48.0
202221-7896,177,7896,93,Goku,126677,14.0,Core,0.0,62.0
202223-7896,179,7896,93,Goku,126677,14.0,Core,0.0,115.0
202224-7896,180,7896,93,Goku,126677,14.0,Core,16.0,91.0
202225-7896,181,7896,93,Goku,126677,14.0,Core,41.0,121.0
202226-7896,182,7896,93,Goku,126677,14.0,Core,3.0,167.0
202227-7896,183,7896,15,Goku,126677,14.0,Core,0.0,14.0
202228-7896,184,7896,15,Goku,126677,14.0,Core,5.0,30.0
202229-7896,185,7896,15,Goku,126677,14.0,Core,0.0,66.0
